1982.27.17,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62J, Textile Roll #4",Bolivian,,"Aksu: Two Joined Textile Panels, c. 1960"
1982.27.18,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Bolivian,,"Manta, c. 1960"
1982.27.19,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62E, Textile Roll # 6",Potosi,,"Manta, 1970s"
1982.27.20,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62I, Textile Roll # 2",Bolivian,,"Manta, 1900s"
1982.27.21,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17",Bolivian,,"Poncho, c. 1970"
1983.3.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 45B",Kenneth Noland,,"Handmade Paper (PK-0388), 1981"
1983.8.36,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63H",The Friendship Senior Citizens Club,,"Quilt, 20th century"
1983.9.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Aldo Pagliacci,,"Untitled, 1954"
1983.9.2,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Aldo Pagliacci,,"Untitled, 1954"
1983.9.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Alice Baber,,"Split Circle, 1972"
1983.9.8,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A",Alice Baber,,"Your Cousin, Xmas 1974, 1974"
1983.9.14,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 60A",American,,"Untitled (portrait of a young child holding a rosebud), 20th century"
1983.9.15,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 19A",Geoffrey Budd Landis,,"Wanton Wind: Billow in Orange and Red II, 1979"
1983.10.8,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Joshua Taylor,,"Moonstone Colors, 1931"
1983.10.21,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Robert Natkin,,"Untitled, 1971"
1983.10.22,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Japanese,,"Untitled, 19th century"
1983.10.26,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Kiyoshi Saito,,"Woman, 20th century"
1983.10.27,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56A",Kiyoshi Saito,,"Way Nara, 1960"
1983.10.28,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Kiyoshi Saito,,"Maiko Kyoto, 1960"
1983.10.30,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Edwin Mieczkowski,,"Untitled abstract, 20th century"
1983.10.33,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Unknown,,"Untitled, 20th century"
1983.10.45,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A","Jacques Hnizdovsky, American, born in Ukraine, 1915 - 1985",,"Jerome, 1978"
1983.10.46,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Ronald Thomason,,"The Running N Longhorn Steer, 20th century"
1983.10.47,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",John Towhey,,"Untitled, 1973"
1983.10.50,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Unknown,,"Untitled, 1800–1899"
1983.10.51,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Ernest Levinstein,,"Untitled, 1967"
1983.10.53,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Sunil Das,,"Untitled (horses), 20th century"
1983.10.59,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Bernard Buffet,,"Les Parisiennes Vues par les Peintres Temoins de leur Temps, 1958"
1983.10.61,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56A",Claes Oldenburg,,"Object into Monument, 1972"
1983.10.65,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Paul Brown,,"Untitled, 20th century"
1983.10.66,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Paul Brown,,"Untitled, 20th century"
1983.10.67,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61A","John Cameron, American, born in Scotland  c.1828 
Published by Currier & Ives, American, active in New York, 1835–1907",,"Trotting Mare Nancy Hanks, record 2:04, 1872"
1983.10.68,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 56B",Anonymous,,"Nancy Hanks 2:04, Driven by Budd Doble, 1872"
1983.10.81,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 47A",James Harbour Crable,,"Times Square: New York, New York, 1978"
1983.10.83,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",American,,"Festival Casals de Puerto Rico/ 31 de mayo al 17 de Junio de 1972, 20th century"
1983.21.3,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B","Peruvian, North Coast",,"Loincloth Tie End, 1400–1460"
1983.21.7,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Peruvian,,"Chuspa (Coca bag), 900–1500"
1983.21.15,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28B",Chancay,,"Three Stripe Panel, 900–1500"
1983.21.24,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63S, Textile Roll #19","Bolivian, Peruvian",,"Aksu, c. 1875"
